#
# Header Description:
#
# GEA Version: 2.0.0
#
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
#
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,6,0.0,16431,146056923054379,12,45.76658248901367,-19.82357303133368,0.15,17,-270.37472672986195,0.0959202561416549,1575420030,,,,0,,1,,41.85658264160156,0.43655744850213174,1.0,0.43655744850213174,1.0,C,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,11,0.0,16431,146056920773814,13,42.6495246887207,-360.79173829953584,0.15,25,-4726.2921764878265,0.0010504841338843107,1575420030,,,,0,,1,,38.739524841308594,-0.20372681261465636,1.0,-0.20372681261465636,1.0,C,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,12,0.0,16431,146056932616815,15,41.32622528076172,185.24242854976808,0.15,29,2445.3379783074265,0.0012233605375513434,1575420030,,,,0,,1,,37.41622543334961,-0.5238689680255122,1.0,-0.5238689680255122,1.0,C,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,19,0.0,16385,146056920758641,13,42.73039627075195,739.1320563082754,0.15,16,1676.438484924296,340282346638528860000000000000000000000,1575420030,,,,0,,1,,38.820396423339844,0.0,1.0,0.0,1.0,C,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,24,0.0,16431,146056926783260,18,38.63288879394531,671.8690332271613,0.15,17,8964.977711419178,0.09681493338485038,1575420030,,,,0,,1,,34.7228889465332,0.23283063588747532,1.0,0.23283063588747532,1.0,C,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,25,0.0,16419,146056930672622,20,37.60563659667969,-263.48443335057516,0.15,17,-3520.642311824826,0.0970243537221921,1575420030,,,,0,,1,,33.69563674926758,-1.6007106776444318,1.0,-1.6007106776444318,1.0,C,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,32,0.0,16419,146056924611728,15,41.399837493896484,-6.236305114635893,0.15,17,-91.08440463234696,0.09635987264391756,1575420030,,,,0,,1,,37.489837646484375,-0.05820765897186883,1.0,-0.05820765897186883,1.0,C,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,6,0.0,81921,146056923054301,36,26.46259117126465,-19.738980374244065,1.6677039905961513,16,-336.058502132218,340282346638528860000000000000000000000,1176450050,,,,0,,1,,22.702590942382812,2.2409949884661438,7.671281903963041,2.2409949884661438,1.0,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,11,0.0,81921,146056920773744,7,35.046478271484375,-360.6867643334456,0.5454700792947009,25,-5943.784258332226,0.003128156065940857,1176450050,,,,0,,1,,31.28647804260254,0.0,7.671281903963041,0.0,1.0,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,24,0.0,81921,146056926783195,6,39.10774230957031,672.0018866426872,0.15,25,11044.484120472465,0.0020787459798157215,1176450050,,,,0,,1,,35.34774398803711,2.6484485142856093,7.671281903963041,2.6484485142856093,1.0,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,25,0.0,81921,146056930672560,12,31.150737762451172,-263.53255777918537,0.7188402132234688,16,-4347.470928600642,340282346638528860000000000000000000000,1176450050,,,,0,,1,,27.390737533569336,0.1455191536427875,7.671281903963041,0.1455191536427875,1.0,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,32,0.0,81921,146056924611681,13,34.86357116699219,-6.718624595733594,0.5507879410217278,25,-116.96597655889806,0.0031947263050824404,1176450050,,,,0,,1,,31.103572845458984,9.196810540047126,7.671281903963041,9.196810540047126,1.0,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,12,0.0,32867,70438933315966,38,38.41958236694336,-194.61687638128012,0.15,17,-2557.7816864525707,0.09528284307831318,1601437440,,,,0,,3,,34.50958251953125,54.016709327697754,2.0000000474974513,54.016709327697754,2.0000000474974513,C,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,11,0.0,32867,70438931609300,33,45.5737190246582,474.22640156192733,0.15,17,6241.62911524301,0.09434584766535475,1602000000,,,,0,,3,,41.663719177246094,54.016709327697754,2.0000000474974513,54.016709327697754,2.0000000474974513,C,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,21,0.0,32867,70438932179401,33,40.80424880981445,-46.755191481246754,0.15,17,-623.2867288571691,0.09471273637425082,1604249980,,,,0,,3,,36.894248962402344,54.016709327697754,2.0000000474974513,54.016709327697754,2.0000000474974513,C,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,10,0.0,81955,146042867336133,9,38.478816986083984,260.92812982276655,0.15,17,3102.2780719213174,0.09773327052165721,1561097980,,,,0,,5,,34.568817138671875,15.425030142068863,4.8356409757302465,15.425030142068863,1.5000000237487257,I,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,19,0.0,16384,146042913902651,1000000000,23.86760139465332,588.6707575988071,299792458,16,1369.435304977477,340282346638528860000000000000000000000,1561097980,,,,0,,5,,19.95760154724121,15.425030142068863,4.8356409757302465,15.425030142068863,1.5000000237487257,I,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,22,0.0,81955,146042914682855,12,34.695091247558594,155.96648454054355,0.5669212579071279,16,951.3898001407655,340282346638528860000000000000000000000,1561097980,,,,0,,5,,30.785091400146484,15.425030142068863,4.8356409757302465,15.425030142068863,1.5000000237487257,I,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,27,0.0,81955,146042922505250,8,39.468257904052734,-376.7767171508426,0.15,16,782405.5951710617,340282346638528860000000000000000000000,1561097980,,,,0,,5,,35.558258056640625,15.425030142068863,4.8356409757302465,15.425030142068863,1.5000000237487257,I,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,28,0.0,81955,146042923714280,6,44.83882522583008,147.9754777017489,0.15,17,263720.87015691644,0.0968436735848986,1561097980,,,,0,,5,,40.92882537841797,15.425030142068863,4.8356409757302465,15.425030142068863,1.5000000237487257,I,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,36,0.0,81955,146042916936751,8,40.044288635253906,-410.2989944182441,0.15,17,782044.6565888856,0.09745067011603122,1561097980,,,,0,,5,,36.1342887878418,15.425030142068863,4.8356409757302465,15.425030142068863,1.5000000237487257,I,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,37,0.0,81955,146042922472042,7,41.04082107543945,489.7036199759573,0.15,17,267375.2058548256,0.09729556730520879,1561097980,,,,0,,5,,37.130821228027344,15.425030142068863,4.8356409757302465,15.425030142068863,1.5000000237487257,I,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,46,0.0,81955,146042927172807,8,39.72513961791992,-59.532845021781526,0.15,17,785793.9347193916,0.09750422512219255,1561097980,,,,0,,5,,35.81513977050781,15.425030142068863,4.8356409757302465,15.425030142068863,1.5000000237487257,I,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,22,0.0,81959,146042914682935,12,39.819068908691406,156.81905719046165,0.15,25,1625.5017023520627,0.0019152923487126827,1176450050,,,,0,,5,,36.0590705871582,35.12051118152577,8.171281927711767,35.12051118152577,1.5000000237487257,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,27,0.0,81959,146042922505311,21,30.253448486328125,-376.2904627436317,0.7613186698953203,16,-5846.081982255766,340282346638528860000000000000000000000,1176450050,,,,0,,5,,26.49344825744629,27.67254668456183,8.171281927711767,27.67254668456183,1.5000000237487257,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,28,0.0,81959,146042923714340,34,27.47222137451172,148.3920334853707,1.2903114790763919,16,2126.3048587899857,340282346638528860000000000000000000000,1176450050,,,,0,,5,,23.712221145629883,27.78896118237433,8.171281927711767,27.78896118237433,1.5000000237487257,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,36,0.0,81959,146042916936767,7,41.73429489135742,-410.1884309292841,0.15,25,-6363.384984010782,0.0015362921403720975,1176450050,,,,0,,5,,37.97429656982422,-0.045144423887897744,8.171281927711767,-0.045144423887897744,1.5000000237487257,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,37,0.0,81959,146042922472076,26,29.7340030670166,489.8881423955718,0.7846716096413413,16,7552.052323001276,340282346638528860000000000000000000000,1176450050,,,,0,,5,,25.974002838134766,9.277065645104923,8.171281927711767,9.277065645104923,1.5000000237487257,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,46,0.0,81959,146042927172887,12,39.84428024291992,-59.4804560257989,0.15,25,-882.8209616980472,0.0019097408512607217,1176450050,,,,0,,5,,36.08428192138672,52.81723841416391,8.171281927711767,52.81723841416391,1.5000000237487257,Q,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,3,0.0,85026,146056912786007,18,38.844966888427734,-110.97373948916197,0.15,25,-989.1564236366767,0.0016278611728921533,1575420030,,,,0,,6,,34.934967041015625,-4.569301381707191,1.5000000237487257,-4.569301381707191,1.5000000237487257,C,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,5,0.0,85026,146056921577196,48,26.77010154724121,404.66441454098003,0.9216612507893291,16,4768.710451648803,340282346638528860000000000000000000000,1575420030,,,,1,,6,,22.8601016998291,-4.569301381707191,1.5000000237487257,-4.569301381707191,1.5000000237487257,C,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,9,0.0,85026,146056909089081,32,31.83765411376953,720.2488757665515,0.6936913543475085,16,3079.076140187393,340282346638528860000000000000000000000,1575420030,,,,1,,6,,27.927654266357422,-4.569301381707191,1.5000000237487257,-4.569301381707191,1.5000000237487257,C,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,12,0.0,85026,146056909337688,28,33.47773361206055,-445.1339574986216,0.8287379626372067,16,-3897.441912835702,340282346638528860000000000000000000000,1575420030,,,,0,,6,,29.567733764648438,-4.569301381707191,1.5000000237487257,-4.569301381707191,1.5000000237487257,C,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,24,0.0,85026,146056921634084,23,35.83280944824219,51.70479918854363,0.5141316932094131,16,241.61840920774128,340282346638528860000000000000000000000,1575420030,,,,0,,6,,31.922809600830078,-4.569301381707191,1.5000000237487257,-4.569301381707191,1.5000000237487257,C,665823412033000
Raw,1701102838999,13565000000,,,-1385138043434900974,0.0,7.44195714062926,,,194,25,0.0,85026,146056912346249,65,23.259265899658203,-309.6593284064504,1.0793181740497193,16,-2841.2796500009736,340282346638528860000000000000000000000,1575420030,,,,1,,6,,19.349266052246094,-4.569301381707191,1.5000000237487257,-4.569301381707191,1.5000000237487257,C,665823412033000
